manufacturer,model,serial number,manufactured_date,device_type
ZOLL Medical,Propaq Md,AI10L000824,2010-12-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000796,2010-12-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000816,2010-12-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000819,2010-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518384GR,2010-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518261GR,2010-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496411GR,2010-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310507316GR,2010-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496410GR,2010-12-01,Patient Monitor
Welch Allyn,FILAC3000,A1155231X,2011-01-01,Thermometer
Welch Allyn,FILAC3000,A1156405,2011-01-01,Thermometer
Welch Allyn,FILAC3000,A1156388,2011-01-01,Thermometer
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311069819GR,2011-02-01,Patient Monitor
Edan Instruments,F9EXPRESS,M560039-M11330014,2011-03-01,Fetal Monitor
ZOLL Medical,M SERIES,T11D124677,2011-04-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311184365GR,2011-05-01,Patient Monitor
ZOLL Medical,Propaq Md,AI11F001156,2011-06-01,Patient Monitor
ZOLL Medical,M SERIES,t1k132871,2011-11-01,Defibrillator
ZOLL Medical,R Series ALS,AF11L019703,2011-12-01,Defibrillator Monitor
Philips,INTELLIVUE MX40,2569230,2012-01-01,Telemetry Monitor
Welch Allyn,FILAC3000,A1257682,2012-01-01,Thermometer
Welch Allyn,FILAC3000,A1262471,2012-01-01,Thermometer
ZOLL Medical,M SERIES,T12B127729,2012-02-01,Defibrillator
ZOLL Medical,M SERIES,T12B127735,2012-02-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312132106GR,2012-03-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152525GA,2012-04-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152311GR,2012-04-01,Patient Monitor
Edan Instruments,SE1200EXPRESS,460016-M12900650018,2012-09-01,ECG Machine
ZOLL Medical,M SERIES,T12L131022,2012-12-01,Defibrillator
Philips,INTELLIVUE MX40,3569208,2013-01-01,Telemetry Monitor
Philips,INTELLIVUE MX40,3569221,2013-01-01,Telemetry Monitor
Philips,INTELLIVUE MX40,3569227,2013-01-01,Telemetry Monitor
Philips,INTELLIVUE MX40,3569212,2013-01-01,Telemetry Monitor
PHILIPS,MX500,DE351B7530,2013-01-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313106097GR,2013-03-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313127233GR,2013-03-01,Patient Monitor
BIOSONIC,UC95,130402317,2013-04-01,Ultrasound Scanner
ZOLL Medical,M SERIES,T3T13D131852,2013-04-01,Defibrillator
ZOLL Medical,M SERIES,T03D45722,2013-04-01,Defibrillator
ZOLL Medical,M SERIES,T13D131863,2013-04-01,Defibrillator
ZOLL Medical,M SERIES,T13D131879,2013-04-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313219052GR,2013-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230274GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA3132300157GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230430GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230464GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230676GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230457GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230453GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230456GR,2013-06-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230407GR,2013-06-01,Patient Monitor
ZOLL Medical,M SERIES,T03G48599,2013-07-01,Defibrillator
BIOSONIC,UC95D15,131100008,2013-11-01,Ultrasound Probe
BIOSONIC,UC95D15,131100002,2013-11-01,Ultrasound Probe
ZOLL Medical,X Series,AR13L006530,2013-12-01,Defibrillator Monitor
Edan Instruments,IM50,M14104900003,2014-01-01,Patient Monitor
Welch Allyn,FILAC3000,A1451284X,2014-01-01,Thermometer
ZOLL Medical,M SERIES,T04A54870,2014-01-01,Defibrillator
GE HEALTHCARE,APEX PRO CH,RTS14024388GA,2014-01-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RTS14104454GA,2014-03-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RTS14104453GA,2014-03-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RTS14104456GA,2014-03-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RTS14104450GA,2014-03-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914126176GA,2014-03-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914126178GA,2014-03-01,Ultrasound System
ZOLL Medical,M SERIES,T04D57875,2014-04-01,Defibrillator
GE HEALTHCARE,APEX PRO CH,RT914166339GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166315GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166362GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166321GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166380GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166373GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166320GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166336GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166372GA,2014-04-01,Ultrasound System
GE HEALTHCARE,APEX PRO CH,RT914166337GA,2014-04-01,Ultrasound System
ZOLL Medical,M SERIES,T14E133852,2014-05-01,Defibrillator
ZOLL Medical,M SERIES,T14F133985,2014-06-01,Defibrillator
ZOLL Medical,M SERIES,T04F60157,2014-06-01,Defibrillator
ZOLL Medical,M SERIES,T04G0718,2014-07-01,Defibrillator
ZOLL Medical,M SERIES,T04H61597,2014-08-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314326586GA,2014-08-01,Patient Monitor
Edan Instruments,IM50,M3331333-M14900008,2014-09-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314358024GA,2014-09-01,Patient Monitor
Edan Instruments,IM50,M3331333-M14104900002,2014-10-01,Patient Monitor
Edan Instruments,IM50,M3331333-M14104900009,2014-10-01,Patient Monitor
Edan Instruments,SE1200EXPRESS,M14B08690005,2014-11-01,ECG Machine
Unico,G380PL LED,G38L-20141208,2014-12-08,Dermatoscope
Olympus,CV190,7500545,2015-01-01,Endoscopy Processor
Olympus,CV190,7500311,2015-01-01,Endoscopy Processor
Olympus,CV190,7500445,2015-01-01,Endoscopy Processor
Olympus,CV190,75500364,2015-01-01,Endoscopy Processor
Olympus,CV190,7500389,2015-01-01,Endoscopy Processor
Olympus,CV190,7500566,2015-01-01,Endoscopy Processor
Philips,INTELLIVUE MP20,DE54011343,2015-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011333,2015-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011319,2015-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE54011330,2015-01-01,Patient Monitor
Welch Allyn,SPOT VITAL SIGNS,201507871,2015-01-01,Vital Signs Monitor
Welch Allyn,SPOT VITAL SIGNS,201507902,2015-01-01,Vital Signs Monitor
ZOLL Medical,M SERIES,T15B135017,2015-02-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070015GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079992GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070003GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079984GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070002GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079980GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079977GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079989GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315058576GA,2015-02-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079799GA,2015-02-01,Patient Monitor
ZOLL Medical,Propaq Md,ai15c003871,2015-03-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315208552GA,2015-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219009,2015-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219102GA,2015-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219007GA,2015-05-01,Patient Monitor
ZOLL Medical,M SERIES,T15F135497,2015-06-01,Defibrillator
Cogentix Medical,CST-5000,CS0709N,2015-07-01,Endoscopy System
Cogentix Medical,CST-5000,CS0715N,2015-07-01,Endoscopy System
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281904GA,2015-07-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281909GA,2015-07-01,Patient Monitor
Exergen,TAT5000,A1539272,2015-09-01,Temporal Thermometer
Exergen,TAT5000,A1539493,2015-09-01,Temporal Thermometer
Exergen,TAT5000,A1539059,2015-09-01,Temporal Thermometer
Exergen,TAT5000,A1539490,2015-09-01,Temporal Thermometer
Exergen,TAT5000,A1539270,2015-09-01,Temporal Thermometer
Exergen,TAT5000,A1539277,2015-09-01,Temporal Thermometer
Philips,INTELLIVUE MP20,DE62229313,2016-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE62223081,2016-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE62229345,2016-01-01,Patient Monitor
Welch Allyn,FILAC3000,A1656130X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661117X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661082X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661093X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661114X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1656006X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1656212X,2016-01-01,Thermometer
PHILIPS,MX500,DE671R3701,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3663,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3664,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3705,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3760,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3685,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671R3691,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671T5134,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671T5131,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671T4113,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671T5132,2016-01-01,Patient Monitor
PHILIPS,MX500,DE671T5133,2016-01-01,Patient Monitor
ZOLL Medical,M SERIES,TD16B136583,2016-02-01,Defibrillator
ZOLL Medical,M SERIES,T16B136570,2016-02-01,Defibrillator
GE HEALTHCARE,APEX PRO CH,RT916059906GA,2016-02-01,Ultrasound System
ZOLL Medical,R Series ALS,AF16C054998,2016-03-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF16D055364,2016-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF16D055704,2016-04-01,Defibrillator Monitor
GE HEALTHCARE,APEX PRO CH,RT916162191SA,2016-04-01,Ultrasound System
ZOLL Medical,M SERIES,T16E136987,2016-05-01,Defibrillator
Edan Instruments,SE1200EXPRESS,311094-M16611040004,2016-06-01,ECG Machine
Edan Instruments,IM70,M16603730016,2016-06-01,Patient Monitor
Edan Instruments,IM70,M16600900014,2016-06-01,Patient Monitor
Edan Instruments,IM50,M16701760030,2016-07-01,Patient Monitor
Edan Instruments,IM50,M16701760034,2016-07-01,Patient Monitor
Edan Instruments,IM50,M16701760010,2016-07-01,Patient Monitor
ZOLL Medical,R Series ALS,AF16H058404,2016-08-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF16H057957,2016-08-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF16H058410,2016-08-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF16H058183,2016-08-01,Defibrillator Monitor
Edan Instruments,IM70,M260066-M16901980001,2016-09-01,Patient Monitor
ZOLL Medical,R Series ALS,AF16L061223,2016-12-01,Defibrillator Monitor
Cogentix Medical,CST-4000,CS1704F,2017-01-01,Endoscopy System
Edan Instruments,IM50,M17101610022,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17101610039,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17101610030,2017-01-01,Patient Monitor
Hospira,PLUMA+,17432148,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434560,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441256,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434159,2017-01-01,Infusion Pump
Hospira,PLUMA+,17433989,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434093,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434354,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441237,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434074,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434027,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441209,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434472,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434162,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434475,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434779,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434141,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434321,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434383,2017-01-01,Infusion Pump
Hospira,PLUMA+,1744041,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434024,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434118,2017-01-01,Infusion Pump
Hospira,PLUMA+,17440578,2017-01-01,Infusion Pump
Hospira,PLUMA+,17440768,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434139,2017-01-01,Infusion Pump
Hospira,PLUMA+,17433973,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434426,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434019,2017-01-01,Infusion Pump
Hospira,PLUMA+,17433363,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434142,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434703,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434212,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434094,2017-01-01,Infusion Pump
Hospira,PLUMA+,17433443,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434341,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441087,2017-01-01,Infusion Pump
Hospira,PLUMA+,17440640,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434396,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434332,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434726,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434435,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434513,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434161,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434177,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434000,2017-01-01,Infusion Pump
Hospira,PLUMA+,17431765,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434512,2017-01-01,Infusion Pump
Hospira,PLUMA+,17433246,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434039,2017-01-01,Infusion Pump
Hospira,PLUMA+,17432437,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434735,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434064,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441258,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441252,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441249,2017-01-01,Infusion Pump
Hospira,PLUMA+,17441084,2017-01-01,Infusion Pump
Hospira,PLUMA+,17480601,2017-01-01,Infusion Pump
Hospira,PLUMA+,17434454,2017-01-01,Infusion Pump
Hospira,PLUMA+,17451880,2017-01-01,Infusion Pump
Philips,INTELLIVUE MP20,DE72870252,2017-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72832824,2017-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72870263,2017-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72856013,2017-01-01,Patient Monitor
Philips,INTELLIVUE MP20,DE72856005,2017-01-01,Patient Monitor
Philips,INTELLIVUE MX40,DE728A5916,2017-01-01,Telemetry Monitor
Philips,M3002A,DE73608832,2017-01-01,Patient Monitor Module
Stryker,1115,2017006701271,2017-01-01,Hospital Bed
Stryker,1115,2017006701256,2017-01-01,Hospital Bed
Stryker,1115,2017006701268,2017-01-01,Hospital Bed
Stryker,1115,2017006701273,2017-01-01,Hospital Bed
Stryker,1115,2017006701253,2017-01-01,Hospital Bed
Stryker,1115,2017006701272,2017-01-01,Hospital Bed
Stryker,1115,2017006701266,2017-01-01,Hospital Bed
Stryker,1115,2017006701259,2017-01-01,Hospital Bed
Stryker,1115,2017006701254,2017-01-01,Hospital Bed
Stryker,1115,2017006701257,2017-01-01,Hospital Bed
Stryker,1115,2017006701267,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5983,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5974,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5972,2017-01-01,Hospital Bed
HILL ROM,P1440,QP09AME5255,2017-01-01,Hospital Bed
HILL ROM,P1440,QP164ME5640,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5982,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5981,2017-01-01,Hospital Bed
HILL ROM,P1440,QP217ME5992,2017-01-01,Hospital Bed
HILL ROM,P1440,QP216ME5980,2017-01-01,Hospital Bed
HILL ROM,P1440,QP2164E5977,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8104,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8102,2017-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8074,2017-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8091,2017-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8089,2017-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8092,2017-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8059,2017-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8088,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8099,2017-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8057,2017-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8058,2017-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8078,2017-01-01,Hospital Bed
HILL ROM,P1440,Q141ME8112,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8103,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8100,2017-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8105,2017-01-01,Hospital Bed
HILL ROM,P1440,QM171ME6632,2017-01-01,Hospital Bed
HILL ROM,P1440,Q141ME8115,2017-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8022,2017-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8076,2017-01-01,Hospital Bed
HILL ROM,P1440,Q0139ME8098,2017-01-01,Hospital Bed
HILL ROM,P1440,Q145ME8148,2017-01-01,Hospital Bed
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757686,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757504,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757280,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757194,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757377,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3782633,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785541,2017-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785793,2017-01-01,Infusion Pump
PHILIPS,MX500,DE7770D7J2,2017-01-01,Patient Monitor
Cogentix Medical,CST-4000,CS1705F,2017-02-01,Endoscopy System
